index	sentence1	sentence2	label
31	城镇职工基本[MASK][MASK]保[MASK]制度的覆盖范围是[MASK]么[MASK]	本市行政区域内的各级党政群机关、事业单位、城镇各类企业和民办非企业单位（统称用人单位），均属我市城镇职工制度的覆盖范围。	0
32	城镇[MASK][MASK]基本医[MASK][MASK][MASK]制度的[MASK]盖范围是[MASK]么？	本市行政区域内的各级党政群机关、事业单位、城镇各类企业和民办非企业单位（统称用人单位），均属我市基本制度的覆盖范围。	0
33	城镇职工基本医疗保[MASK]制度的覆盖范围[MASK]什[MASK]？	本市行政区域内的各级党政群机关、事业单位、城镇各类企业和民办非企业单位（统称用人单位），均属我市城镇职工[MASK][MASK]医疗保险制度的覆盖范围。	0
34	城镇职工基本医疗保险制度的覆盖范围[MASK]什[MASK][MASK]	本市行政区域内的各级党政群机关、事业单位、城镇各类企业和民办非企业单位（统称用人单位），均属我市城镇职工基本医疗保险制度的覆盖范围。	0
35	城镇[MASK]工[MASK]本医疗保险[MASK]度的覆盖范围是[MASK]么[MASK]	本市行政区域内的各级党政群机关、事业单位、城镇各类企业和民办非企业单位（统称用人单位），均属我市城镇职工基本医疗保险制度的覆盖范围。	0
36	城镇职工基本医疗保险制度的覆盖范围是[MASK]么？	本市行政区域内的各级党政群机关、事业单位、城镇各类企业和民办非企业单位（统称用人单位），均属我市基本医疗保险的覆盖范围。	0
37	城镇职工基本医疗保险制度的覆盖范[MASK]是什[MASK]？	本市行政区域内的各级党政群机关、事业单位、城镇各类企业和民办非企业单位（统称用人单位），均属我市城镇职工基本医疗保险制度的覆盖范围。	0
38	城镇职工基本医[MASK]保险制度的覆盖范[MASK][MASK]什么[MASK]	本市行政区域内的各级党政群机关、事业单位、城镇各类企业和民办非企业单位（统称用人单位），均属我市城镇职工基本医疗保险制度的覆盖范围。	0
39	城镇职[MASK]基本医疗[MASK]险制度的覆盖范围是什么[MASK]	本市行政区域内的各级党政群机关、事业单位、城镇各类企业和民办非企业单位（统称用人单位），均属我市[MASK][MASK][MASK][MASK]基本医疗保险[MASK][MASK]的覆盖范围。	0
40	城镇职工基本医疗保险制度的覆盖范围是[MASK]么[MASK]	本市行政区域内的各级党政群机关、事业单位、城镇各类企业和民办非企业单位（统称用人单位），均属我市城镇职工基本医疗保险制度的覆盖范围。	0
41	城镇职工基本医疗保险制度的覆[MASK]范围是什[MASK]？	本市行政区域内的各级党政群机关、事业单位、城镇各类企业和民办非企业单位（统称用人单位），均属我市城镇职工基本医疗保险制度的覆盖范围。	0
42	镇医基？职工覆疗保城范的度什围制险盖本么是	工、党城非镇办业单医制位企（各市职人均保民政业盖各企统围区基我范用类业覆市称和行内）的关域事单本度属，疗险位群。单机城的级政位本镇、	1
43	各行群政内党机政级区域	市行政区域内各级党政群机关、事业单位、各类企业和民办非企业单位（统称用人单位），均属我市。	1
44	机党域各内政事关、级群	市行政区域内各级党政群机关、事业单位、各类企业和民办非企业单位（统称用人单位），均属我市。	1
45	机党内政域区关群政各级	市行政区域内各级党政群机关、事业单位、各类企业和民办非企业单位（统称用人单位），均属我市。	1
46	区群域关各内级党政、机	市行政区域内各级党政群机关、事业单位、各类企业和民办非企业单位（统称用人单位），均属我市。	1
47	内政行域区市群政各党级	市行政区域内各级党政群机关、事业单位、各类企业和民办非企业单位（统称用人单位），均属我市。	1
48	、、机事各业类单群关位	市行政区域内各级党政群机关、事业单位、各类企业和民办非企业单位（统称用人单位），均属我市。	1
49	党区内政政各行域市级群	市行政区域内各级党政群机关、事业单位、各类企业和民办非企业单位（统称用人单位），均属我市。	1
50	群各类机关、、事业单位	市行政区域内各级党政群机关、事业单位、各类企业和民办非企业单位（统称用人单位），均属我市。	1
51	党政群内机关区域各级、	市行政区域内各级党政群机关、事业单位、各类企业和民办非企业单位（统称用人单位），均属我市。	1
52	事业、内机关党政群各级	市行政区域内各级党政群机关、事业单位、各类企业和民办非企业单位（统称用人单位），均属我市。	1
53	党政群事业各级机关内、	市行政区域内各级党政群机关、事业单位、各类企业和民办非企业单位（统称用人单位），均属我市。	1
54	各、政事业内党级机关群	市行政区域内各级党政群机关、事业单位、各类企业和民办非企业单位（统称用人单位），均属我市。	1
55	级内群党各市区政域政行	市行政区域内各级党政群机关、事业单位、各类企业和民办非企业单位（统称用人单位），均属我市。	1
56	各级内行政区域党政群市	市行政区域内各级党政群机关、事业单位、各类企业和民办非企业单位（统称用人单位），均属我市。	1
57	党、机关群域政各区级内	市行政区域内各级党政群机关、事业单位、各类企业和民办非企业单位（统称用人单位），均属我市。	1
58	、事业单位、群各类机关	市行政区域内各级党政群机关、事业单位、各类企业和民办非企业单位（统称用人单位），均属我市。	1
59	事业单位级党政群机关、	市行政区域内各级党政群机关、事业单位、各类企业和民办非企业单位（统称用人单位），均属我市。	1
60	事各业党政群关级、机内	市行政区域内各级党政群机关、事业单位、各类企业和民办非企业单位（统称用人单位），均属我市。	1
61	区内党政群级各政域机关	市行政区域内各级党政群机关、事业单位、各类企业和民办非企业单位（统称用人单位），均属我市。	1
62	政域群政区党行机各级内	市行政区域内各级党政群机关、事业单位、各类企业和民办非企业单位（统称用人单位），均属我市。	1
63	、事业单位、党政群机关	市行政区域内各级党政群机关、事业单位、各类企业和民办非企业单位（统称用人单位），均属我市。	1
64	党政群事业单位机关、级	市行政区域内各级党政群机关、事业单位、各类企业和民办非企业单位（统称用人单位），均属我市。	1
65	各市群政级内政区党域行	市行政区域内各级党政群机关、事业单位、各类企业和民办非企业单位（统称用人单位），均属我市。	1
66	关、内群级政党各业机事	市行政区域内各级党政群机关、事业单位、各类企业和民办非企业单位（统称用人单位），均属我市。	1
67	机政、级业位事关单群党	市行政区域内各级党政群机关、事业单位、各类企业和民办非企业单位（统称用人单位），均属我市。	1
68	、级关群业事各政机党内	市行政区域内各级党政群机关、事业单位、各类企业和民办非企业单位（统称用人单位），均属我市。	1
69	单位党关业政机事群级、	市行政区域内各级党政群机关、事业单位、各类企业和民办非企业单位（统称用人单位），均属我市。	1
70	位单群政事党业、级机关	市行政区域内各级党政群机关、事业单位、各类企业和民办非企业单位（统称用人单位），均属我市。	1
71	机、关事党政群业单位、	市行政区域内各级党政群机关、事业单位、各类企业和民办非企业单位（统称用人单位），均属我市。	1
72	各内群党关机、域政级事	市行政区域内各级党政群机关、事业单位、各类企业和民办非企业单位（统称用人单位），均属我市。	1
73	各政业机群单关党事、级	市行政区域内各级党政群机关、事业单位、各类企业和民办非企业单位（统称用人单位），均属我市。	1
74	、机关级党政群事业单位	市行政区域内各级党政群机关、事业单位、各类企业和民办非企业单位（统称用人单位），均属我市。	1
75	城镇职工基[MASK]医疗保险制度的覆盖范[MASK]是什么？	长期异地居住（工作）人员在省外备案医疗机构治疗补助病种的门诊医疗费，每半年集中报销一次，门诊医疗收费发票及处方等资料由单位经办人员收集汇总后，分别在每年1月底和7月底前集中送指定医保经办机构审核报销；因破产、改制单位已不存在的，由个人在此时间内直接向指定医保经办机构邮寄或面送报帐资料。	1
76	城镇职工基本医疗[MASK]险[MASK]度的[MASK][MASK][MASK]围[MASK]什么？	职工退休时, 缴费不满规定年限，又不愿意补缴不足年限医保费的,其城镇职工基本医疗保险参保关系自退休时终止，退休后不再享受医保待遇。	1
77	城镇职工[MASK]本医疗保[MASK]制度的覆盖范[MASK]是什[MASK]？	用人单位职工参保时，按其可预见退休时间和可视同缴费年限的连续工龄或工作年限计算，预期缴费不满规定年限,又有退休后继续享受医保待遇愿望的,可在参保时或退休前的任何时候一次性补缴不足年限的医保费，年补费标准为补费当年我市参保职工的平均缴费额（即：补费上一年度全市职工年平均工资乘以补费当年单位、个人缴费比例之和）。	1
78	城镇[MASK]工基本医疗保[MASK]制度的覆盖范围是什么[MASK]	三级定点医疗机构，医保基金支付比例为87%；二级定点医疗机构，医保基金支付比例为90%	1
79	城[MASK]职工基本医疗[MASK]险制度的覆[MASK]范围[MASK]什么[MASK]	起付线标准：三级医院700元，二级医院400元，一级及其以下医疗机构200元（其中，社区卫生服务机构和乡镇卫生院为150元）。50岁以上人员降低100元；统筹年度内多次住院的依次递减100元；传染病患者在市第四人民医院住院的按一级医院的起付线标准执行。起付线降低或递减后低于100元的按100元计算（社区卫生服务机构和乡镇卫生院降低或递减后低于50元的按50元计算）	1
80	城镇职工基本[MASK]疗保险制度的[MASK][MASK]范围是什么？	的资金按以下公式计算:本人缴费工资基数(基本养老金或退休费)×（2% + 当月实足年龄×系数÷100）注意：公式中，“基本养老金”是指纳入养老保险统筹项目范围并由养老保险经办机构发放的养老金，本人基本养老金低于全市上年度退休人员月平均基本养老金80%的，按全市上年度退休人员月平均基本养老金的80%计算，高于300%的按300%计算；“实足年龄”是指本人有效身份证记载的出生年月或社保基金征缴部门按照有关文件规定确认的出生年月计算的年龄；“系数”由市劳动保障局公布（20	1
81	城镇职工基[MASK]医疗保险制度的[MASK]盖范围是什么？	三级定点医疗机构，医保基金支付比例为93%；二级定点医疗机构，医保基金支付比例为96%	1
82	[MASK]镇职工基本医[MASK]保险制度的[MASK]盖范围是[MASK]么？	取得慢性病门诊医疗补助资格的参保人员，自取得补助资格之日起门诊治疗补助病种并属于基本医疗保险基金支付范围的医疗费，按60% 报销补助，一个统筹年度内累计补助的最高限额为2400元。	1
83	城镇职工[MASK]本医疗保险制度的覆盖范围[MASK]什[MASK]？	2005年1月1日及其以后参保并连续缴费至退休和虽然在此前参保但中断缴费1年以上在2005年1月1日以后续保的职工，退休时缴纳医疗保险费的年限男必须满30年、女必须满25年（其中实际缴费年限必须满15年），不满规定年限的，须一次性补缴不足年限的医保费。	1
84	城镇职工基[MASK]医疗保险[MASK][MASK]的[MASK][MASK]范围是什[MASK]？	三级定点医疗机构，医保基金支付比例为80%；二级定点医疗机构，医保基金支付比例为83%	1
85	[MASK]镇职工[MASK]本医疗保险[MASK]度的覆[MASK][MASK][MASK]是什么？	恶性肿瘤患者、肾衰竭血液（腹膜）透析患者、系统性红斑狼疮患者、精神病患者和肾（包括肝、骨髓、造血干细胞）移植患者，在本市定点医院（长期异地居住、工作人员在备案居住、工作地定点医院）住院的，不设起付线。	1
86	城镇[MASK]工基本医疗保险制[MASK]的覆盖范围是什[MASK][MASK]	2004年1月1日至12月31日期间参保并连续缴费至退休和虽然在2004年1月1日以前参保但中断缴费1年以上在2004年续保的职工，退休时缴纳医疗保险费的年限男必须满30年、女必须满25年（其中实际缴费年限必须满10年），不满规定年限的，须一次性补缴不足年限的医保费；	1
87	城镇职[MASK]基本医疗[MASK]险制度的覆盖[MASK]围是[MASK]么？	符合转院条件的病员，由高级别医院转往低级别医院的，转院后不再设起付线；由低级别医院转往高级别医院的，转院后只按两个医院的起付线差额执行。	1
88	城镇职工基本医疗保险[MASK]度[MASK][MASK][MASK][MASK]围[MASK]什么？	经批准转往市外上级医院住院的，医保基金支付比例降低5个百分点	1
89	[MASK]镇职工[MASK]本医疗保险[MASK][MASK]的覆盖范围是什么？	以改制上年本市退休人员人均医疗费实际支出额为年标准，为建国前参加革命工作的老工人一次性缴纳10年的基本医疗保险费	1
90	城[MASK]职工基[MASK]医疗保险制度的覆盖范围是什么[MASK]	从参保生效并连续缴费满12个月后开始享受医保基金按规定支付住院医疗费的待遇。	1
91	城[MASK]职工基本医疗保[MASK][MASK]度[MASK][MASK]盖范围是[MASK]么？	医保基金支付参保人员住院费，要设立年度最高限额（封顶线），我市现行年度最高限额（封顶线）为50000元/人。	1
92	城镇职工基本医疗保险制度的覆[MASK]范围[MASK]什么[MASK]	   2004年1月1日以前参保并连续缴费至退休的职工，退休时缴纳医疗保险费的年限（含城镇职工基本医疗保险制度改革前的连续工龄或工作年限）必须满20年，不满规定年限的，须一次性补缴不足年限的医保费；	1
93	城[MASK][MASK]工基本[MASK]疗保险制度[MASK][MASK]盖范围是什么？	医保基金支付参保人员住院费，要设立年度最高限额（封顶线），我市现行年度最高限额（封顶线）为40000元/人。	1
94	[MASK][MASK]职工[MASK]本医疗保险制[MASK]的[MASK]盖[MASK]围是什么[MASK]	1、强制参保原则。所有用人单位及其职工必须按照《中华人民共和国劳动法》及其相关法律法规的规定参加基本医疗保险。2、属地参保原则。用人单位及其职工应当在当地参加基本医疗保险。3、整体参保原则。用人单位的全体在册职工和退休人员必须整体参加基本医疗保险，不能一部分人参保，一部分人不参保。4、权利义务对应原则。办理参保手续并按规定履行了缴费义务的用人单位，其职工和退休人员才具有享受基本医疗保险待遇的权利。	1
95	城[MASK][MASK][MASK]基本[MASK]疗保险制度的覆盖[MASK]围[MASK]什么[MASK]	病员要求变更就医医疗机构的，原则上在每年1月上旬和7月上旬通过单位经办人员书面申请，变更后原则上1年内不受理再变更申请。	1
96	城[MASK]职工[MASK]本医疗保险[MASK][MASK]的[MASK]盖范[MASK]是什么？	三级定点医疗机构，医保基金支付比例为95%；二级定点医疗机构，医保基金支付比例为98%	1
97	[MASK][MASK]职工基本医疗保险[MASK]度的覆[MASK]范围[MASK]什[MASK][MASK]	个人医疗帐户资金用于支付参保人员本人符合规定的门诊医疗费和在定点零售药店购买规定范围内药品的费用，也可用于支付本人住院医疗费中的个人负担部分费用。个人医疗帐户资金包干使用，超支自理，结余滚存，依法继承。	1
98	城镇职[MASK]基本[MASK]疗保险[MASK]度的覆盖范围是[MASK]么？	缴费年限不够规定年限的参保人员一次性补缴的医保费，全部作为基本医疗保险统筹基金。	1
99	城镇职工基本医疗保险制度的覆[MASK]范围是什么？	以改制当年我市职工的平均缴费标准,为改制方案实施时解除劳动（人事）关系离开单位的人员一次性缴纳1年的基本医疗保险费；	1
100	城镇职[MASK]基本医疗保险制度的覆[MASK]范围是什么？	医保基金支付参保人员住院费，要设立年度最高限额（封顶线），我市现行年度最高限额（封顶线）为50000元/人。	1
101	城镇职工[MASK]本医疗保险制[MASK][MASK][MASK]盖范围是什么[MASK]	肝、肾、骨髓、造血干细胞移植患者在制药厂或药品批发、零售企业等非医疗机构按医嘱购买的抗排斥药物，视同住院费按市内二级定点医院的相关政策规定报销。	1
102	城镇职工基本医疗保[MASK]制[MASK]的覆盖范[MASK]是什[MASK]？	从参保生效并连续缴费满12个月后开始享受医保基金按规定支付住院医疗费的待遇。	1
103	城镇职工基本医疗保险制度的覆盖范围是什么？	以改制当年我市在职职工的平均缴费标准,为改制时已经退休人员和五年内将退休人员一次性缴纳12年的基本医疗保险费，五年内将退休人员正式退休前个人应缴纳的2%部分医疗保险费，由改制单位一次性代收后一并向社保基金征缴机构缴纳。	1
104	[MASK][MASK]职[MASK]基本医疗保险制度的[MASK]盖范围是什么？	取得慢性病门诊医疗补助资格的市内居住人员，预计外出两个月以上的，应在外出之前到指定医保经办机构办理外出期间补助病种门诊医疗的备案手续，经指定医保经办机构同意，可提前开足外出期间用药，也可在外出目的地的医疗机构临时门诊就医，外出归来后凭有效票据按规定报销。	1
105	城镇职[MASK]基本医疗[MASK][MASK]制度的覆盖范围是什么？	恶性肿瘤门诊放(化)疗、肾衰竭门诊透析治疗、系统性红斑狼疮门诊药物治疗及肝、肾、骨髓、造血干细胞移植术后的抗排斥药物治疗费用，每季度视同住院医疗费报销（结算）一次。	1
106	[MASK]镇职工基本医疗保险制度的覆盖范围是什么？	市内居住的参保人员可到任何方便的定点医疗机构就医。市外居住（工作）的参保人员以本人在市医保局登记备案的定点医院作为补助病种的就医点。	1
107	城镇职工基本医疗保险制度的覆[MASK]范[MASK]是什么？	参保人员在市内指定医疗机构门诊治疗补助病种，通过医保网络系统实行医疗机构前台结算，属于医保基金支付的门诊补助费用由医疗机构定期与医保经办机构结算，个人负担部分费用由病员用现金或本人医疗账户资金支付。	1
108	[MASK]镇职[MASK][MASK]本医疗保险[MASK]度的覆盖范围是什么？	出差、探亲、休假、旅游期间在备案居住（工作）地以外地方（包括攀枝花市）急症住院的降低10个百分点。	1
109	[MASK]镇职工基本医疗保险[MASK]度的覆[MASK]范围是什么？	用人单位的退休人员随本单位在职职工一起参加基本医疗保险,本人不缴纳基本医疗保险费。	1
110	城[MASK]职工基[MASK]医疗保险制度的覆盖范围是[MASK]么？	从参保生效并连续缴费满6个月后开始享受医保基金按规定支付住院医疗费的待遇。	1
111	[MASK]镇职工基本[MASK]疗保险制度的覆盖范围[MASK]什么[MASK]	参保人员出差、探亲、休假、旅游期间在外地急症住院的，起付线标准提高100元。	1
112	城[MASK]职工基本医疗保险制度的覆盖范围[MASK][MASK]么？	单位经办人员对本单位参保人员提交的资料进行初审后向指定医保经办机构申报，因破产、改制原单位已不存在的退休人员和托管人员，原则上由居住地社区的基层劳动保障站（所）初审后向指定医保经办机构申报。市医保局、市人社局定期组织医、药学专家对申报资料进行审核。符合享受慢性病门诊医疗补助条件的人员名单经公示无异议后，市医保局正式将其纳入享受慢性病门诊医疗补助的人员范围。已取得补助资格的人员申请变更补助病种的，按程序重新申报。	1
113	[MASK]镇职工基本医疗保险制度的[MASK]盖范围是[MASK][MASK]？	在职职工以本人上年度月平均工资(以国家统计局关于“工资总额组成规定”的统计口径为准，简称“缴费工资”)的2%，按月缴纳基本医疗保险费，由用人单位代扣代缴。本人上年度实际月平均工资收入低于全市上年度职工月平均工资80%的，以全市上年度职工月平均工资的80%作为缴费工资基数，高于300%的以300%作为缴费工资基数。用人单位以本单位全部职工缴费工资总额的7.5%按月缴纳基本医疗保险费。	1
114	城镇职[MASK]基本医疗保险制[MASK][MASK][MASK][MASK]范围是什么？	参保人员在定点医疗机构住院发生的医疗费，按照四川省基本医疗保险 “三个目录”的规定划分为甲、乙、丙三类。甲类住院费直接纳入医保基金支付范围按规定比例支付，乙类住院费先由本人负担15％后再纳入医保基金支付范围按规定比例支付，丙类住院费（即基本医疗保险“三个目录”范围外的费用）全部由个人负担。	1
115	[MASK]镇[MASK]工基本医[MASK]保险制度的覆[MASK]范围是[MASK][MASK]？	医保基金支付参保人员住院费，要设立起付标准（起付线），起付标准以下的住院医疗费由个人负担	1
116	用人单位参加基本医疗保险的原[MASK]是什[MASK][MASK]	1、强制参保原则。所有用人单位及其职工必须按照《中华人民共和国劳动法》及其相关法律法规的规定参加基本医疗保险。2、属地参保原则。用人单位及其职工应当在当地参加基本医疗保险。3、整体参保原则。用人单位的全体在册职工和退休人员必须整体参加基本医疗保险，不能一部分人参保，一部分人不参保。4、权利义务对应原则。办理参保手续并按规定履行了缴费义务的用人单位，其职工和退休人员才具有享受基本医疗保险待遇的权利。	0
117	[MASK]人单位参加基本[MASK]疗保险的原则[MASK][MASK]么？	1、强制参保原则。所有用人单位及其职工必须按照《中华人民共和国劳动法》及其相关法律法规的规定参加基本医疗保险。2、属地参保原则。用人单位及其职工应当在当地参加基本医疗保险。3、整体参保原则。用人单位的全体在册职工和退休人员必须整体参加基本医疗保险，不能一部分人参保，一部分人不参保。4、权利义务对应原则。办理参保手续并按规定履行了缴费义务的用人单位，其职工和退休人员才具有享受基本医疗保险待遇的权利。	0
118	[MASK]人单位参加基本医疗[MASK]险的原则[MASK]什[MASK][MASK]	1、强制参保原则。所有及其职工必须按照《中华人民共和国劳动法》及其相关法律法规的规定基本医疗保险。2、属地参保原则。及其职工应当在当地基本医疗保险。3、整体参保原则。的全体在册职工和退休人员必须整体基本医疗保险，不能一部分人参保，一部分人不参保。4、权利义务对应原则。办理参保手续并按规定履行了缴费义务的，其职工和退休人员才具有享受基本医疗保险待遇的权利。	0
119	用人[MASK]位参加基本医疗[MASK]险的原则是[MASK]么[MASK]	1、强制参保。所有用人单位及其职工必须按照《中华人民共和国劳动法》及其相关法律法规的规定参加基本[MASK][MASK][MASK][MASK]。2、属地参保。用人单位及其职工应当在当地参加基本[MASK][MASK][MASK][MASK]。3、整体参保。用人单位的全体在册职工和退休人员必须整体参加基本[MASK][MASK][MASK][MASK]，不能一部分人参保，一部分人不参保。4、权利义务对应。办理参保手续并按规定履行了缴费义务的用人单位，其职工和退休人员才具有享受基本[MASK][MASK][MASK][MASK]待遇的权利。	0
120	用人单位参加基本医疗保险的原则是[MASK][MASK]？	1、强制参保。所有用人单位及其职工必须按照《中华人民共和国劳动法》及其相关法律法规的规定基本医疗保险。2、属地参保。用人单位及其职工应当在当地基本医疗保险。3、整体参保。用人单位的全体在册职工和退休人员必须整体基本医疗保险，不能一部分人参保，一部分人不参保。4、权利义务对应。办理参保手续并按规定履行了缴费义务的用人单位，其职工和退休人员才具有享受基本医疗保险待遇的权利。	0
